CUSTOMER_ID,RECENCY,FREQUENCY,MONETARY,AVG_DAYS_BETWEEN_PURCHASE,MAX_DAYS_WITHOUT_PURCHASE,MIN_DAYS_WITHOUT_PURCHASE,GENDER,MARITAL_STATUS,CITY,CHILDREN_COUNT,AGE,LENGTH_OF_RELATIONSHIP,NUM_OF_LOCATIONS_VISITED,RELATIVE_PURCHASE_FREQUENCY,RELATIVE_PURCHASE_MONETARY
828,12,42,1608.25,29,215,2,Male,Single,San Mateo,1,75,1187,41,0.035383,1.3548862679
848,3,42,1305.5,31,238,1,Male,Single,San Mateo,0,67,1282,40,0.032761,1.0183307332
868,60,40,1434.0,32,391,1,Male,Divorced/Seperated,San Mateo,2,33,1292,38,0.03096,1.1099071207
884,45,29,1303.0,33,124,1,Male,Married,San Mateo,4,68,966,28,0.030021,1.3488612836
891,57,55,1763.75,22,108,1,Female,Married,San Mateo,2,41,1222,51,0.045008,1.4433306056
911,8,35,1427.5,35,221,1,Male,Married,San Mateo,4,35,1208,32,0.028974,1.181705298
939,25,43,1442.75,32,157,1,Male,Single,San Mateo,2,47,1357,40,0.031688,1.0631908622
940,10,34,1365.75,34,224,1,Undisclosed,Divorced/Seperated,San Mateo,2,41,1111,29,0.030603,1.2292979298
948,7,42,1309.0,29,208,1,Undisclosed,Divorced/Seperated,San Mateo,3,70,1195,40,0.035146,1.0953974895
950,57,39,1468.75,33,268,1,Male,Married,San Mateo,1,30,1254,37,0.0311,1.1712519936
962,31,42,1271.0,30,222,1,Female,Married,San Mateo,2,76,1259,42,0.03336,1.0095313741
1004,39,40,1419.75,33,377,1,Male,Married,San Mateo,0,46,1304,39,0.030675,1.0887653374
1042,19,52,1847.5,22,88,1,Female,Married,San Mateo,1,80,1101,47,0.04723,1.6780199818
1059,1,40,1640.75,26,143,1,Male,Married,San Mateo,2,36,1006,38,0.039761,1.6309642147
1062,58,31,1458.75,32,130,1,Male,Undisclosed,San Mateo,Undisclosed,74,954,29,0.032495,1.5290880503
1092,55,29,987.0,44,285,2,Male,Married,San Mateo,0,80,1251,28,0.023181,0.7889688249
1096,22,36,1286.5,37,212,3,Male,Single,San Mateo,0,33,1320,36,0.027273,0.9746212121
1099,9,40,1487.5,29,191,1,Female,Single,San Mateo,0,73,1117,38,0.03581,1.3316920322
1114,44,39,1180.0,33,240,1,Male,Married,San Mateo,1,32,1296,39,0.030093,0.9104938272
1130,14,50,1925.5,27,336,1,Female,Married,San Mateo,0,70,1335,46,0.037453,1.4423220974
1139,59,42,1646.0,29,183,1,Female,Divorced/Seperated,San Mateo,2,23,1250,40,0.0336,1.3168
1156,7,36,1518.5,27,142,1,Male,Married,San Mateo,0,39,941,34,0.038257,1.6137088204
1168,7,48,1853.5,24,102,1,Female,Undisclosed,San Mateo,Undisclosed,48,1150,44,0.041739,1.6117391304
1202,29,31,1218.25,41,200,5,Male,Married,San Mateo,0,21,1243,31,0.02494,0.9800884956
1211,81,40,1529.0,31,304,1,Female,Single,San Mateo,0,70,1219,40,0.032814,1.2543068089
1216,36,37,1309.0,35,155,1,Undisclosed,Single,San Mateo,2,33,1280,36,0.028906,1.02265625
1217,16,41,1668.25,31,185,1,Female,Single,San Mateo,0,42,1249,38,0.032826,1.3356685348
1226,38,42,1659.5,29,203,1,Male,Married,San Mateo,2,77,1211,40,0.034682,1.3703550784
1289,30,41,1316.25,31,197,2,Male,Single,San Mateo,0,38,1224,37,0.033497,1.0753676471
1306,9,39,1527.0,31,252,1,Female,Single,San Mateo,0,80,1176,38,0.033163,1.2984693878
1313,65,44,1528.5,26,150,2,Female,Married,San Mateo,4,76,1158,44,0.037997,1.3199481865
1356,37,48,2039.0,25,157,1,Female,Single,San Mateo,0,31,1209,45,0.039702,1.6865177833
1369,5,37,1222.0,36,293,1,Male,Divorced/Seperated,San Mateo,3,63,1298,35,0.028505,0.9414483821
1378,15,41,1048.25,34,283,1,Male,Single,San Mateo,0,70,1355,41,0.030258,0.7736162362
1403,37,37,1472.5,34,334,1,Female,Married,San Mateo,1,82,1222,36,0.030278,1.2049918167
1413,65,34,1166.0,38,325,2,Female,Single,San Mateo,0,40,1301,30,0.026134,0.8962336664
1415,10,35,1449.5,30,165,3,Male,Single,San Mateo,0,45,1011,34,0.034619,1.4337289812
1472,39,36,1192.0,20,73,1,Female,Undisclosed,San Mateo,Undisclosed,20,735,32,0.04898,1.6217687075
1482,17,48,1817.0,28,176,1,Female,Divorced/Seperated,San Mateo,3,69,1300,46,0.036923,1.3976923077
1494,64,27,1280.0,41,223,2,Male,Married,San Mateo,2,22,1103,27,0.024479,1.1604714415
1497,55,40,1407.5,29,147,1,Male,Undisclosed,San Mateo,Undisclosed,29,1194,39,0.033501,1.1788107203
1515,26,28,926.0,32,123,2,Undisclosed,Married,San Mateo,4,81,882,27,0.031746,1.0498866213
1523,55,38,1634.0,30,167,1,Female,Single,San Mateo,0,25,1142,36,0.033275,1.4308231173
1564,20,43,1321.0,32,291,2,Female,Married,San Mateo,3,16,1374,41,0.031295,0.961426492
1590,2,46,1633.5,27,233,1,Female,Married,San Mateo,0,80,1199,40,0.038365,1.3623853211
1640,109,37,1366.0,34,216,1,Male,Single,San Mateo,0,41,1279,37,0.028929,1.0680218921
1659,44,39,1755.75,31,254,1,Undisclosed,Married,San Mateo,0,74,1227,36,0.031785,1.4309290954
1679,9,45,1646.0,31,524,1,Undisclosed,Divorced/Seperated,San Mateo,2,49,1369,42,0.032871,1.2023374726
1704,35,27,831.5,41,210,1,Female,Single,San Mateo,0,31,1092,26,0.024725,0.7614468864
1709,24,37,1459.5,33,197,2,Female,Married,San Mateo,0,23,1194,35,0.030988,1.222361809
1711,29,35,1081.5,40,218,2,Male,Divorced/Seperated,San Mateo,0,71,1376,34,0.025436,0.7859738372
1756,13,26,1008.0,52,351,5,Male,Married,San Mateo,3,32,1317,26,0.019742,0.7653758542
1778,9,35,1379.75,38,257,1,Male,Single,San Mateo,0,41,1284,34,0.027259,1.0745716511
1788,30,34,1219.0,28,132,1,Female,Single,San Mateo,0,56,965,33,0.035233,1.2632124352
1804,6,45,1550.0,29,213,1,Male,Undisclosed,San Mateo,Undisclosed,31,1298,43,0.034669,1.1941448382
1811,3,31,975.0,32,210,3,Male,Married,San Mateo,2,71,973,29,0.03186,1.0020554985
1819,25,39,1618.0,23,74,1,Female,Married,San Mateo,4,60,889,38,0.04387,1.8200224972
1854,27,37,1248.75,36,315,1,Male,Married,San Mateo,2,57,1314,37,0.028158,0.9503424658
1856,9,42,1819.25,32,144,2,Male,Single,San Mateo,0,39,1300,40,0.032308,1.3994230769
1857,16,45,1625.5,29,245,1,Male,Divorced/Seperated,San Mateo,3,63,1270,43,0.035433,1.2799212598
1874,42,42,1739.5,26,127,1,Male,Single,San Mateo,0,29,1078,39,0.038961,1.6136363636
1925,29,51,1976.5,22,123,1,Female,Single,San Mateo,0,49,1116,48,0.045699,1.7710573477
1929,21,45,1877.0,22,191,1,Female,Single,San Mateo,0,27,985,41,0.045685,1.9055837563
1962,28,37,1313.5,37,256,1,Female,Single,San Mateo,2,77,1335,35,0.027715,0.9838951311
1973,34,32,997.25,37,183,2,Female,Married,San Mateo,2,34,1173,29,0.02728,0.850170503
1986,16,40,1229.0,30,172,1,Undisclosed,Married,San Mateo,2,53,1169,35,0.034217,1.0513259196
2021,28,40,1344.5,33,114,1,Female,Divorced/Seperated,San Mateo,1,51,1323,40,0.030234,1.0162509448
2023,18,38,1361.0,32,237,1,Female,Divorced/Seperated,San Mateo,4,38,1175,37,0.03234,1.1582978723
2118,20,33,1072.0,37,295,4,Female,Single,San Mateo,0,74,1199,32,0.027523,0.8940783987
2122,8,42,1868.75,32,181,1,Female,Single,San Mateo,0,31,1301,39,0.032283,1.4363950807
2139,19,39,1436.5,28,121,1,Female,Single,San Mateo,2,75,1079,37,0.036145,1.3313253012
2164,78,35,1300.75,35,219,1,Female,Married,San Mateo,0,80,1204,32,0.02907,1.0803571429
2180,16,44,1475.5,27,185,1,Female,Divorced/Seperated,San Mateo,0,20,1143,40,0.038495,1.2909011374
2201,44,50,1652.25,26,118,1,Female,Undisclosed,San Mateo,Undisclosed,56,1307,47,0.038256,1.2641545524
2260,12,49,1764.0,28,324,1,Female,Single,San Mateo,0,58,1353,47,0.036216,1.3037694013
2295,41,41,1676.5,28,121,1,Male,Divorced/Seperated,San Mateo,2,82,1142,39,0.035902,1.4680385289
2337,42,41,1127.5,31,141,1,Female,Married,San Mateo,4,20,1251,40,0.032774,0.9012789768
2442,46,36,1216.0,30,260,1,Male,Married,San Mateo,2,72,1076,36,0.033457,1.1301115242
2548,15,37,1291.5,36,100,1,Male,Single,San Mateo,0,73,1306,37,0.028331,0.9888973966
2578,65,38,1216.75,33,404,1,Male,Single,San Mateo,1,58,1259,36,0.030183,0.9664416203
2603,10,30,1167.0,40,376,1,Female,Married,San Mateo,2,39,1163,29,0.025795,1.0034393809
2650,12,39,1702.0,29,288,2,Female,Divorced/Seperated,San Mateo,2,58,1120,35,0.034821,1.5196428571
2652,33,43,1543.25,26,214,1,Male,Single,San Mateo,0,29,1125,42,0.038222,1.3717777778
2653,29,37,1423.0,32,233,2,Male,Married,San Mateo,1,74,1153,34,0.03209,1.2341717259
2655,44,46,1631.5,21,108,1,Male,Married,San Mateo,2,82,935,44,0.049198,1.7449197861
2698,9,38,1710.5,28,101,3,Female,Married,San Mateo,2,45,1057,38,0.035951,1.6182592242
2739,33,35,1457.5,38,182,1,Female,Undisclosed,San Mateo,Undisclosed,35,1316,32,0.026596,1.1075227964
2745,23,30,985.5,33,277,3,Female,Single,San Mateo,0,52,971,29,0.030896,1.0149330587
2746,4,39,1467.5,30,152,1,Male,Married,San Mateo,2,30,1148,37,0.033972,1.2783101045
2762,6,42,1545.5,24,184,1,Female,Divorced/Seperated,San Mateo,1,58,993,40,0.042296,1.5563947633
2771,30,40,1388.25,31,148,1,Female,Married,San Mateo,1,77,1249,38,0.032026,1.1114891914
2774,26,35,1598.75,37,375,1,Female,Single,San Mateo,0,59,1277,34,0.027408,1.2519577134
2809,4,29,1221.5,26,181,1,Female,Married,San Mateo,1,57,733,27,0.039563,1.6664392906
2816,78,34,1570.75,30,102,1,Female,Undisclosed,San Mateo,Undisclosed,52,1052,32,0.032319,1.493108365
2843,57,38,1266.0,34,192,1,Male,Single,San Mateo,0,25,1283,38,0.029618,0.9867498051
2871,22,44,1453.75,29,178,1,Female,Single,San Mateo,0,65,1252,42,0.035144,1.1611421725
2878,16,40,1480.0,32,146,1,Female,Married,San Mateo,4,16,1240,38,0.032258,1.1935483871
2906,71,37,1233.5,35,182,1,Female,Single,San Mateo,0,56,1307,32,0.028309,0.9437643458
2939,54,35,1520.0,34,319,1,Male,Single,San Mateo,0,34,1166,34,0.030017,1.3036020583
2958,7,36,1489.0,32,237,3,Female,Single,San Mateo,0,19,1132,35,0.031802,1.3153710247
2975,138,33,1062.0,36,291,1,Male,Single,San Mateo,1,25,1276,32,0.025862,0.8322884013
2981,54,31,1205.0,37,241,1,Female,Married,San Mateo,2,19,1143,29,0.027122,1.0542432196
2995,9,37,1212.25,37,204,1,Male,Married,San Mateo,1,80,1349,33,0.027428,0.8986286138
3025,19,44,1235.0,30,150,1,Undisclosed,Married,San Mateo,0,58,1304,40,0.033742,0.9470858896
3040,36,34,1083.0,35,256,1,Male,Married,San Mateo,0,22,1181,31,0.028789,0.917019475
3060,30,43,1505.0,28,172,1,Undisclosed,Married,San Mateo,1,81,1192,39,0.036074,1.2625838926
3074,9,54,2275.0,25,371,1,Male,Married,San Mateo,2,65,1311,49,0.04119,1.7353165523
3086,44,38,1117.0,31,207,2,Male,Undisclosed,San Mateo,Undisclosed,45,1156,34,0.032872,0.9662629758
3091,26,40,1653.75,34,245,1,Female,Divorced/Seperated,San Mateo,1,72,1360,39,0.029412,1.2159926471
3095,11,42,1444.5,29,257,1,Female,Single,San Mateo,0,39,1210,40,0.034711,1.1938016529
3114,2,45,1963.5,27,244,1,Female,Single,San Mateo,0,43,1189,42,0.037847,1.6513877208
3115,14,37,1409.0,27,146,1,Female,Married,San Mateo,1,30,979,36,0.037794,1.4392236977
3123,52,36,1288.25,33,197,1,Male,Divorced/Seperated,San Mateo,1,69,1171,33,0.030743,1.1001280956
3134,18,37,1258.5,38,208,1,Male,Undisclosed,San Mateo,Undisclosed,42,1380,34,0.026812,0.9119565217
3136,70,45,1592.5,24,251,1,Undisclosed,Single,San Mateo,0,55,1088,44,0.04136,1.4636948529
3139,15,35,1277.0,24,64,4,Female,Divorced/Seperated,San Mateo,2,61,835,34,0.041916,1.5293413174
3154,10,36,1680.0,33,390,3,Male,Married,San Mateo,2,71,1152,33,0.03125,1.4583333333
3182,78,29,1179.25,34,218,1,Female,Single,San Mateo,0,60,968,27,0.029959,1.2182334711
3187,64,34,1674.0,38,335,1,Male,Divorced/Seperated,San Mateo,4,78,1311,33,0.025934,1.2768878719
3189,17,33,1238.0,32,165,1,Male,Single,San Mateo,1,47,1032,31,0.031977,1.1996124031
3208,19,34,1151.5,38,266,1,Male,Single,San Mateo,0,20,1280,32,0.026563,0.899609375
3223,32,34,983.75,27,89,1,Female,Single,San Mateo,0,27,889,32,0.038245,1.1065804274
3243,78,32,1316.0,39,215,2,Male,Single,San Mateo,0,75,1245,29,0.025703,1.0570281124
3325,8,36,1264.75,37,152,1,Female,Single,San Mateo,2,44,1289,36,0.027929,0.9811869666
3328,19,33,1075.0,42,248,1,Male,Married,San Mateo,3,52,1358,32,0.0243,0.7916053019
3348,19,41,1456.0,32,279,1,Female,Married,San Mateo,4,56,1299,35,0.031563,1.1208622017
3375,14,45,1421.0,30,283,1,Male,Undisclosed,San Mateo,Undisclosed,67,1323,44,0.034014,1.0740740741
3417,27,46,1792.5,26,182,1,Male,Single,San Mateo,1,66,1184,44,0.038851,1.5139358108
3519,18,33,1051.5,36,246,1,Female,Married,San Mateo,0,22,1156,30,0.028547,0.9096020761
3546,46,32,1147.5,30,143,1,Male,Single,San Mateo,0,58,969,31,0.033024,1.1842105263
3574,22,30,1039.25,35,185,1,Female,Married,San Mateo,0,26,1028,29,0.029183,1.0109435798
3587,23,40,1609.25,35,145,1,Male,Undisclosed,San Mateo,Undisclosed,64,1379,40,0.029007,1.166968818
3590,12,30,956.0,34,150,1,Male,Married,San Mateo,0,60,998,26,0.03006,0.9579158317
3603,25,36,1063.0,38,257,2,Male,Divorced/Seperated,San Mateo,2,53,1349,34,0.026686,0.7879911045
3608,43,46,1423.75,29,247,1,Male,Divorced/Seperated,San Mateo,2,19,1318,44,0.034901,1.0802352049
3616,22,40,1559.75,30,240,1,Male,Single,San Mateo,0,52,1167,39,0.034276,1.3365467009
3620,16,40,1479.75,34,204,1,Female,Married,San Mateo,0,47,1347,39,0.029696,1.0985523385
3630,7,32,1140.75,40,266,1,Female,Married,San Mateo,3,51,1239,30,0.025827,0.9207021792
3644,16,43,1327.5,26,275,1,Female,Single,San Mateo,1,40,1113,39,0.038634,1.192722372
3648,78,41,1329.75,31,177,1,Female,Married,San Mateo,3,56,1243,37,0.032985,1.0697908286
3651,23,34,1275.25,31,244,1,Male,Married,San Mateo,3,29,1055,32,0.032227,1.2087677725
3667,40,30,1237.5,35,128,2,Female,Single,San Mateo,0,66,1053,29,0.02849,1.1752136752
3696,10,35,1195.0,40,295,1,Male,Married,San Mateo,4,41,1360,34,0.025735,0.8786764706
3713,24,41,1605.5,29,153,1,Female,Married,San Mateo,1,21,1178,40,0.034805,1.3629032258
3730,27,44,1630.0,29,152,1,Male,Single,San Mateo,0,40,1251,43,0.035172,1.3029576339
3751,23,36,1016.0,38,166,1,Female,Single,San Mateo,0,36,1339,35,0.026886,0.7587752054
3809,85,36,1302.5,28,160,1,Male,Single,San Mateo,0,44,1028,34,0.035019,1.2670233463
3820,5,40,1656.5,27,229,1,Undisclosed,Single,San Mateo,0,79,1050,39,0.038095,1.5776190476
3821,10,40,1102.0,33,230,2,Male,Married,San Mateo,1,29,1296,39,0.030864,0.850308642
3824,43,33,1280.0,35,181,1,Female,Undisclosed,San Mateo,Undisclosed,82,1147,32,0.028771,1.1159546643
3857,7,40,1922.75,29,133,1,Male,Married,San Mateo,2,57,1147,37,0.034874,1.6763295554
3876,70,41,1520.25,33,232,1,Female,Divorced/Seperated,San Mateo,2,34,1361,38,0.030125,1.1170095518
3890,80,33,980.0,37,172,1,Undisclosed,Married,San Mateo,1,62,1235,32,0.026721,0.7935222672
3898,12,43,1548.5,30,214,1,Female,Single,San Mateo,0,18,1255,40,0.034263,1.2338645418
3899,34,50,2429.0,22,111,1,Female,Single,San Mateo,0,80,1107,47,0.045167,2.1942186089
3902,77,44,1512.75,27,130,1,Female,Married,San Mateo,2,16,1213,42,0.036274,1.2471145919
3921,48,40,1582.0,24,114,1,Male,Single,San Mateo,0,46,974,37,0.041068,1.6242299795
3929,12,37,1297.25,33,257,1,Male,Single,San Mateo,2,29,1184,36,0.03125,1.0956503378
3955,18,35,1357.0,33,230,1,Male,Single,San Mateo,0,36,1130,32,0.030973,1.2008849558
3961,29,42,1293.5,32,275,1,Male,Single,San Mateo,0,17,1322,41,0.03177,0.9784417549
3963,29,41,1582.5,31,174,1,Undisclosed,Single,San Mateo,0,65,1251,39,0.032774,1.2649880096
4021,20,35,1345.5,28,136,2,Undisclosed,Married,San Mateo,2,23,958,34,0.036534,1.4044885177
4037,61,37,1645.0,34,180,1,Undisclosed,Undisclosed,San Mateo,Undisclosed,60,1255,36,0.029482,1.3107569721
4038,61,37,1644.25,34,190,1,Female,Married,San Mateo,2,68,1266,37,0.029226,1.2987756714
4080,29,44,1443.5,31,152,2,Female,Single,San Mateo,0,27,1328,42,0.033133,1.0869728916
4132,22,44,1723.75,27,170,1,Female,Single,San Mateo,0,49,1160,41,0.037931,1.4859913793
4140,23,29,1115.5,43,290,1,Female,Married,San Mateo,3,46,1210,28,0.023967,0.9219008264
4145,24,32,1016.0,29,170,2,Male,Married,San Mateo,1,23,905,31,0.035359,1.1226519337
4152,36,43,1584.0,32,481,1,Male,Married,San Mateo,4,32,1344,42,0.031994,1.1785714286
4182,15,41,1262.0,31,211,1,Female,Married,San Mateo,1,70,1248,41,0.032853,1.0112179487
4184,30,46,1811.5,29,199,1,Male,Married,San Mateo,0,54,1341,44,0.034303,1.350857569
4193,22,44,1644.25,31,415,1,Female,Married,San Mateo,3,78,1342,38,0.032787,1.2252235469
4221,31,36,1399.5,33,203,1,Undisclosed,Undisclosed,San Mateo,Undisclosed,40,1157,32,0.031115,1.209593777
4230,26,59,2154.75,22,214,1,Female,Married,San Mateo,4,80,1267,51,0.046567,1.7006708761
4264,4,39,1304.5,30,207,3,Undisclosed,Undisclosed,San Mateo,Undisclosed,73,1147,37,0.034002,1.1373147341
4280,11,44,1578.5,26,103,1,Undisclosed,Single,San Mateo,0,16,1105,41,0.039819,1.4285067873
4294,26,29,1010.0,38,244,3,Undisclosed,Single,San Mateo,0,44,1074,26,0.027002,0.9404096834
4312,6,40,1627.25,28,234,1,Undisclosed,Married,San Mateo,4,57,1102,39,0.036298,1.4766333938
4330,74,41,1461.0,30,177,1,Male,Married,San Mateo,1,27,1284,39,0.031931,1.1378504673
4335,8,40,1269.5,34,238,1,Female,Married,San Mateo,0,77,1326,40,0.030166,0.9573906486
4388,37,36,1215.5,37,194,1,Male,Divorced/Seperated,San Mateo,1,73,1310,33,0.027481,0.9278625954
4392,10,44,1784.5,31,334,1,Male,Single,San Mateo,0,17,1323,41,0.033258,1.3488284203
4422,25,42,1432.0,29,295,1,Male,Married,San Mateo,1,65,1201,42,0.034971,1.1923397169
4425,27,53,1893.5,24,190,1,Male,Single,San Mateo,0,42,1268,49,0.041798,1.49329653
4435,25,38,1221.5,22,72,4,Female,Married,San Mateo,1,79,824,38,0.046117,1.4824029126
4443,34,40,1547.5,33,358,1,Female,Single,San Mateo,2,37,1295,39,0.030888,1.194980695
4481,55,32,1153.0,39,280,1,Female,Single,San Mateo,0,77,1237,31,0.025869,0.9320937753
4508,43,43,2026.5,25,243,1,Female,Married,San Mateo,2,45,1072,39,0.040112,1.890391791
4520,15,30,1097.0,46,280,1,Male,Married,San Mateo,1,23,1335,29,0.022472,0.8217228464
4533,20,29,1242.0,38,166,3,Male,Undisclosed,San Mateo,Undisclosed,75,1093,29,0.026532,1.1363220494
4554,36,34,1164.5,38,509,3,Female,Single,San Mateo,0,59,1272,33,0.02673,0.9154874214
4582,30,48,1632.0,22,183,1,Female,Married,San Mateo,1,62,1026,46,0.046784,1.5906432749
4600,79,36,1128.0,24,85,1,Female,Divorced/Seperated,San Mateo,2,42,857,34,0.042007,1.3162193699
4611,28,37,1448.5,19,83,1,Female,Married,San Mateo,3,77,703,37,0.052632,2.060455192
4618,91,37,1070.75,28,97,1,Male,Single,San Mateo,0,67,1022,37,0.036204,1.0477005871
4620,14,46,1574.5,27,195,1,Female,Undisclosed,San Mateo,Undisclosed,80,1223,43,0.037612,1.2874080131
4628,14,38,1516.0,33,276,1,Female,Single,San Mateo,0,28,1244,34,0.030547,1.2186495177
4639,44,43,1733.75,28,134,1,Male,Single,San Mateo,0,65,1198,40,0.035893,1.4472036728
4642,91,25,644.0,48,262,1,Female,Single,San Mateo,0,33,1182,25,0.021151,0.5448392555
4657,42,46,1991.0,29,215,1,Undisclosed,Single,San Mateo,0,69,1314,39,0.035008,1.5152207002
4670,34,36,1458.5,33,135,1,Male,Married,San Mateo,1,50,1152,36,0.03125,1.2660590278
4677,19,33,1122.5,30,108,1,Male,Single,San Mateo,0,39,974,31,0.033881,1.1524640657
4735,7,37,1425.25,28,166,1,Undisclosed,Single,San Mateo,0,26,1016,36,0.036417,1.4028051181
4746,8,45,1913.25,27,252,1,Male,Single,San Mateo,0,20,1198,38,0.037563,1.5970367279
4773,29,41,1118.0,33,275,2,Female,Married,San Mateo,4,79,1339,38,0.03062,0.8349514563
4774,11,27,1029.0,40,172,1,Male,Single,San Mateo,0,67,1055,26,0.025592,0.9753554502
4791,23,42,1490.5,26,98,1,Male,Married,San Mateo,2,55,1079,40,0.038925,1.3813716404
4836,32,37,1201.0,35,244,1,Female,Married,San Mateo,0,79,1280,36,0.028906,0.93828125
4842,30,36,1326.0,34,298,1,Female,Married,San Mateo,1,54,1190,34,0.030252,1.1142857143
4849,7,47,1699.25,26,133,1,Undisclosed,Divorced/Seperated,San Mateo,4,43,1219,46,0.038556,1.3939704676
