YEAR,MENU_ITEM_ID,TOTAL_QTY_SOLD_PER_YEAR
2022,39,4757939
2022,41,9267989
2022,42,9264830
2022,43,9268817
2022,44,2086732
2022,45,2085178
2022,46,2087596
2022,51,9599003
2022,52,9604000
2022,53,9603643
2022,54,2159746
2022,55,2161955
2022,56,2159093
2022,61,9748413
2022,62,9753474
2022,63,9745850
2022,64,2193683
2022,65,2194095
2022,66,2192336
2022,71,9722565
2022,72,9722697
2022,73,9724533
2022,74,2185132
2022,75,2186684
2022,76,2189133
2022,81,9518444
2022,82,9522450
2022,83,9521251
2022,84,2141692
2022,85,2140968
2022,86,2141030
2022,91,9643900
2022,92,9647225
2022,93,9649778
2022,94,2170574
2022,95,2171977
2022,96,2170557
2022,101,9446628
2022,102,9446617
2022,103,9449513
2022,104,2128641
2022,105,2128787
2022,106,2128988
2022,111,9041466
2022,112,9043732
2022,113,9040794
2022,114,2034149
2022,115,2034744
2022,116,2033200
2022,121,9596949
2022,122,9602625
2022,123,9602391
2022,124,2159641
2022,125,2160095
2022,126,2162747
2022,131,9383407
2022,132,9377335
2022,133,9381569
2022,134,2111436
2022,135,2110286
2022,136,2110000
2022,141,9436738
2022,142,9436990
2022,143,9437512
2022,144,2124767
2022,145,2124700
2022,146,2124424
2022,151,9551220
2022,152,9557333
2022,153,9552178
2022,154,2149263
2022,155,2147632
2022,156,2149625
