GENDER,MARITAL_STATUS,CITY,HAVE_CHILDREN,AGE_GROUP,CLUSTERS,CHURNED,SALES
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1329.75
Male,Married,San Mateo,Yes,Adults,0,1,1275.25
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1237.5
Male,Married,San Mateo,Yes,Adults,0,0,1195.0
Female,Married,San Mateo,Yes,Adults,2,0,1605.5
Male,Single,San Mateo,No,Adults,1,1,1630.0
Female,Single,San Mateo,No,Adults,1,1,1016.0
Male,Single,San Mateo,No,Adults,1,1,1302.5
Undisclosed,Single,San Mateo,No,Seniors,1,0,1656.5
Male,Married,San Mateo,Yes,Adults,0,0,1102.0
Female,Undisclosed,San Mateo,Undisclosed,Seniors,2,1,1280.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1922.75
Female,Divorced/Seperated,San Mateo,Yes,Adults,2,1,1520.25
Undisclosed,Married,San Mateo,Yes,Middle-Aged Adults,2,1,980.0
Female,Single,San Mateo,No,Adults,1,0,1548.5
Female,Single,San Mateo,No,Seniors,1,1,2429.0
Female,Married,San Mateo,Yes,Adults,2,1,1512.75
Male,Single,San Mateo,No,Adults,1,1,1582.0
Male,Single,San Mateo,Yes,Adults,0,0,1297.25
Male,Single,San Mateo,No,Adults,1,0,1357.0
Male,Single,San Mateo,No,Adults,1,0,1293.5
Undisclosed,Single,San Mateo,No,Middle-Aged Adults,3,0,1582.5
Undisclosed,Married,San Mateo,Yes,Adults,0,0,1345.5
Undisclosed,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1645.0
Female,Married,San Mateo,Yes,Seniors,2,1,1644.25
Female,Single,San Mateo,No,Adults,1,0,1443.5
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,1723.75
Female,Married,San Mateo,Yes,Adults,2,0,1115.5
Male,Married,San Mateo,Yes,Adults,0,1,1016.0
Male,Married,San Mateo,Yes,Adults,0,0,1584.0
Female,Married,San Mateo,Yes,Seniors,2,0,1262.0
Male,Married,San Mateo,No,Middle-Aged Adults,2,1,1811.5
Female,Married,San Mateo,Yes,Seniors,2,0,1644.25
Undisclosed,Undisclosed,San Mateo,Undisclosed,Adults,0,0,1399.5
Female,Married,San Mateo,Yes,Seniors,2,0,2154.75
Undisclosed,Undisclosed,San Mateo,Undisclosed,Seniors,2,0,1304.5
Undisclosed,Single,San Mateo,No,Adults,1,0,1578.5
Undisclosed,Single,San Mateo,No,Adults,1,1,1010.0
Undisclosed,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1627.25
Male,Married,San Mateo,Yes,Adults,0,1,1461.0
Female,Married,San Mateo,No,Seniors,2,0,1269.5
Male,Divorced/Seperated,San Mateo,Yes,Seniors,0,1,1215.5
Male,Single,San Mateo,No,Adults,1,0,1784.5
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1432.0
Male,Single,San Mateo,No,Adults,1,0,1893.5
Female,Married,San Mateo,Yes,Seniors,2,1,1221.5
Female,Single,San Mateo,Yes,Adults,1,0,1547.5
Female,Single,San Mateo,No,Seniors,1,1,1153.0
Female,Married,San Mateo,Yes,Adults,2,1,2026.5
Male,Married,San Mateo,Yes,Adults,0,0,1097.0
Male,Undisclosed,San Mateo,Undisclosed,Seniors,0,1,1242.0
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1164.5
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1632.0
Female,Divorced/Seperated,San Mateo,Yes,Adults,2,0,1128.0
Female,Married,San Mateo,Yes,Seniors,2,0,1448.5
Male,Single,San Mateo,No,Seniors,3,1,1070.75
Female,Undisclosed,San Mateo,Undisclosed,Seniors,2,0,1574.5
Female,Single,San Mateo,No,Adults,1,0,1516.0
Male,Single,San Mateo,No,Middle-Aged Adults,3,1,1733.75
Female,Single,San Mateo,No,Adults,1,1,644.0
Undisclosed,Single,San Mateo,No,Seniors,1,1,1991.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1458.5
Male,Single,San Mateo,No,Adults,1,1,1122.5
Undisclosed,Single,San Mateo,No,Adults,1,0,1425.25
Male,Single,San Mateo,No,Adults,1,0,1913.25
Female,Married,San Mateo,Yes,Seniors,2,1,1118.0
Male,Single,San Mateo,No,Seniors,3,0,1029.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1490.5
Female,Married,San Mateo,No,Seniors,2,0,1201.0
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1326.0
Undisclosed,Divorced/Seperated,San Mateo,Yes,Adults,0,0,1699.25
Male,Single,San Mateo,No,Seniors,3,1,1119.5
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1620.75
Male,Single,San Mateo,Yes,Seniors,0,1,1263.0
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,2050.75
Male,Married,San Mateo,Yes,Seniors,0,1,2206.75
Male,Married,San Mateo,Yes,Adults,0,0,1291.0
Undisclosed,Married,San Mateo,Yes,Seniors,2,1,1302.75
Male,Married,San Mateo,Yes,Seniors,0,1,1479.25
Male,Undisclosed,San Mateo,Undisclosed,Adults,0,0,1214.5
Male,Undisclosed,San Mateo,Undisclosed,Adults,0,0,1449.25
Male,Undisclosed,San Mateo,Undisclosed,Adults,0,1,1192.0
Female,Married,San Mateo,Yes,Adults,2,0,1875.5
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,2244.25
Male,Married,San Mateo,No,Middle-Aged Adults,2,0,1820.25
Male,Married,San Mateo,Yes,Seniors,0,1,1020.0
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1323.5
Female,Divorced/Seperated,San Mateo,Yes,Adults,2,0,1093.5
Female,Married,San Mateo,Yes,Seniors,2,1,1789.5
Female,Single,San Mateo,Yes,Middle-Aged Adults,2,1,1266.75
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1560.5
Undisclosed,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1324.0
Male,Single,San Mateo,No,Adults,1,1,1336.75
Undisclosed,Single,San Mateo,No,Adults,1,1,2165.5
Male,Single,San Mateo,No,Seniors,3,1,1701.5
Undisclosed,Single,San Mateo,Yes,Adults,0,1,1269.25
Female,Married,San Mateo,Yes,Seniors,2,0,1332.25
Female,Divorced/Seperated,San Mateo,Yes,Adults,2,1,1703.25
Female,Married,San Mateo,Yes,Adults,2,0,1413.0
Male,Single,San Mateo,No,Adults,1,1,1052.5
Female,Divorced/Seperated,San Mateo,No,Seniors,1,1,1462.0
Male,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1144.5
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,1,2010.0
Female,Married,San Mateo,Yes,Seniors,2,0,1523.5
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1391.0
Male,Single,San Mateo,No,Adults,1,0,1559.0
Male,Single,San Mateo,Yes,Middle-Aged Adults,2,0,1070.0
Female,Single,San Mateo,No,Adults,1,0,1490.5
Female,Married,San Mateo,Yes,Adults,2,1,1545.5
Male,Married,San Mateo,Yes,Adults,0,0,1425.0
Male,Single,San Mateo,No,Adults,1,0,1480.75
Female,Married,San Mateo,Yes,Adults,2,0,1787.5
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,2121.5
Female,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1486.5
Male,Divorced/Seperated,San Mateo,No,Adults,0,1,1313.0
Female,Single,San Mateo,No,Adults,1,0,1622.5
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,1805.0
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,0,1359.0
Male,Married,San Mateo,Yes,Adults,0,0,1649.75
Female,Married,San Mateo,Yes,Adults,2,1,1330.25
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,1561.0
Male,Divorced/Seperated,San Mateo,Yes,Adults,0,1,1369.75
Female,Married,San Mateo,Yes,Adults,2,0,1512.25
Female,Single,San Mateo,No,Seniors,1,0,1582.0
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,856.5
Female,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,0,1240.0
Female,Married,San Mateo,Yes,Adults,2,0,1374.5
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,2065.0
Female,Married,San Mateo,No,Adults,1,0,1153.0
Male,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,996.0
Female,Married,San Mateo,No,Middle-Aged Adults,2,0,1527.0
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,1,927.0
Undisclosed,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,1,1753.0
Male,Married,San Mateo,Yes,Seniors,0,1,1543.0
Female,Single,San Mateo,No,Adults,1,1,1525.25
Female,Single,San Mateo,Yes,Adults,1,1,1630.5
Male,Single,San Mateo,No,Middle-Aged Adults,3,1,1244.25
Male,Married,San Mateo,Yes,Adults,0,0,1265.5
Female,Single,San Mateo,No,Seniors,1,1,1218.5
Female,Married,San Mateo,Yes,Seniors,2,0,1326.75
Female,Divorced/Seperated,San Mateo,Yes,Adults,2,1,1647.0
Male,Married,San Mateo,Yes,Adults,0,0,1408.75
Male,Single,San Mateo,No,Adults,1,1,1178.0
Female,Married,San Mateo,Yes,Adults,2,0,1860.0
Male,Single,San Mateo,Yes,Adults,0,0,1300.75
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1452.0
Female,Single,San Mateo,No,Seniors,1,0,1679.5
Undisclosed,Single,San Mateo,No,Adults,1,1,1255.5
Female,Single,San Mateo,No,Adults,1,0,1415.5
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,1486.5
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,976.0
Male,Married,San Mateo,Yes,Seniors,0,1,2130.5
Undisclosed,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1469.25
Male,Single,San Mateo,No,Seniors,3,0,1375.5
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1345.0
Male,Single,San Mateo,No,Seniors,3,0,1265.5
Female,Married,San Mateo,Yes,Adults,2,0,1439.5
Undisclosed,Divorced/Seperated,San Mateo,Yes,Seniors,2,1,1320.5
Male,Single,San Mateo,Yes,Middle-Aged Adults,2,0,1283.5
Female,Single,San Mateo,No,Seniors,1,1,1650.75
Female,Single,San Mateo,No,Seniors,1,1,1433.5
Male,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,0,1180.75
Female,Divorced/Seperated,San Mateo,Yes,Seniors,2,0,1095.0
Undisclosed,Single,San Mateo,No,Seniors,1,1,1636.0
Male,Divorced/Seperated,San Mateo,Yes,Adults,0,0,1215.0
Female,Married,San Mateo,Yes,Seniors,2,1,1784.0
Female,Divorced/Seperated,San Mateo,Yes,Adults,2,0,1363.0
Male,Single,San Mateo,Yes,Middle-Aged Adults,2,1,1666.5
Male,Married,San Mateo,No,Middle-Aged Adults,2,0,1416.0
Undisclosed,Undisclosed,San Mateo,Undisclosed,Adults,0,1,1602.25
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,1557.0
Female,Married,San Mateo,Yes,Adults,2,0,1705.5
Female,Single,San Mateo,No,Adults,1,0,1987.25
Male,Married,San Mateo,No,Seniors,0,0,1728.25
Female,Single,San Mateo,No,Seniors,1,1,1343.5
Undisclosed,Single,San Mateo,No,Middle-Aged Adults,3,0,1440.5
Undisclosed,Married,San Mateo,Yes,Seniors,2,0,1225.0
Female,Married,San Mateo,Yes,Adults,2,0,1891.0
Male,Single,San Mateo,No,Middle-Aged Adults,3,1,1176.25
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1535.0
Female,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,664.5
Male,Married,San Mateo,Yes,Seniors,0,0,1620.0
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,1,1639.75
Female,Married,San Mateo,Yes,Adults,2,0,1393.25
Female,Married,San Mateo,Yes,Seniors,2,1,1621.0
Undisclosed,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1403.5
Undisclosed,Single,San Mateo,No,Middle-Aged Adults,3,1,1406.5
Male,Married,San Mateo,Yes,Adults,0,1,1560.0
Male,Married,San Mateo,No,Adults,0,1,1282.0
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1278.5
Male,Divorced/Seperated,San Mateo,Yes,Seniors,0,1,1749.5
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,715.5
Male,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,1,1077.0
Female,Single,San Mateo,No,Adults,1,1,1375.75
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1616.0
Female,Single,San Mateo,No,Adults,1,0,1892.5
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1234.0
Male,Married,San Mateo,Yes,Adults,0,1,1879.75
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1059.5
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,1506.0
Male,Married,San Mateo,Yes,Seniors,0,0,1756.0
Female,Married,San Mateo,Yes,Seniors,2,0,1873.5
Male,Single,San Mateo,No,Adults,1,0,1463.0
Female,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1478.5
Female,Single,San Mateo,No,Adults,1,1,1969.75
Male,Married,San Mateo,Yes,Seniors,0,0,1188.0
Male,Undisclosed,San Mateo,Undisclosed,Seniors,0,1,1518.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,857.0
Male,Married,San Mateo,Yes,Adults,0,0,1233.25
Female,Single,San Mateo,No,Seniors,1,0,1569.5
Undisclosed,Single,San Mateo,No,Adults,1,0,1382.5
Male,Single,San Mateo,Yes,Middle-Aged Adults,2,0,1522.75
Male,Married,San Mateo,Yes,Seniors,0,0,1822.5
Male,Single,San Mateo,No,Middle-Aged Adults,3,1,1639.0
Female,Married,San Mateo,Yes,Adults,2,0,1327.0
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1065.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1379.5
Female,Married,San Mateo,No,Adults,1,0,2135.0
Female,Single,San Mateo,Yes,Adults,1,0,1500.5
Undisclosed,Married,San Mateo,Yes,Seniors,2,0,1889.25
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,1201.25
Male,Married,San Mateo,Yes,Seniors,0,0,1404.0
Female,Married,San Mateo,Yes,Seniors,2,0,1433.0
Female,Married,San Mateo,Yes,Adults,2,0,1045.0
Female,Married,San Mateo,No,Middle-Aged Adults,2,0,1273.5
Undisclosed,Divorced/Seperated,San Mateo,Yes,Adults,0,1,1419.0
Male,Married,San Mateo,Yes,Adults,0,0,1348.75
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1463.0
Female,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,1,1260.0
Male,Divorced/Seperated,San Mateo,Yes,Seniors,0,1,1769.5
Female,Single,San Mateo,No,Adults,1,0,1339.75
Male,Single,San Mateo,No,Adults,1,0,1331.75
Male,Married,San Mateo,No,Adults,0,0,1480.0
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,1568.25
Undisclosed,Single,San Mateo,Yes,Adults,0,1,1526.25
Male,Single,San Mateo,No,Seniors,3,0,1034.5
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1401.0
Female,Married,San Mateo,Yes,Seniors,2,0,1175.5
Female,Married,San Mateo,Yes,Adults,2,1,1344.0
Female,Married,San Mateo,Yes,Seniors,2,0,2003.5
Male,Single,San Mateo,No,Seniors,3,1,1951.5
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1174.5
